epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6309.7,0.80597,1.56075,0.73232,1.15564,0.82233,0.63852,0.71699,0.54258,0.82124,0.63885,0.70254,0.48033,0.80521,1.58755,0.75082,1.0289,0.000304021,0.000304021,0.000304021
60,6418.82,0.804,1.5513,0.73451,1.15324,0.74564,0.66042,0.72744,0.54765,0.76302,0.65616,0.72295,0.49811,0.80217,1.5582,0.75347,1.03004,0.000296953,0.000296953,0.000296953
61,6526.21,0.79082,1.52657,0.7246,1.15327,0.76926,0.67209,0.73395,0.55117,0.65008,0.74043,0.72578,0.4926,0.81249,1.57886,0.73413,1.02734,0.000289884,0.000289884,0.000289884
62,6635.05,0.80006,1.54753,0.72268,1.14939,0.64439,0.7608,0.72975,0.55189,0.64583,0.76021,0.72116,0.4907,0.8027,1.60222,0.73744,1.01885,0.000282815,0.000282815,0.000282815
63,6742.25,0.79191,1.53498,0.71871,1.14694,0.74645,0.68431,0.7163,0.54088,0.74458,0.69108,0.71686,0.48027,0.79134,1.60191,0.74528,1.02155,0.000275747,0.000275747,0.000275747
64,6850.09,0.78456,1.53657,0.70977,1.14558,0.70841,0.68245,0.71165,0.53605,0.71421,0.68609,0.71376,0.48632,0.79348,1.56446,0.74114,1.02088,0.000268678,0.000268678,0.000268678
65,6956.31,0.77612,1.4905,0.70058,1.14104,0.72868,0.6888,0.70181,0.5341,0.73775,0.69399,0.701,0.47985,0.7963,1.58951,0.74677,1.02344,0.00026161,0.00026161,0.00026161
66,7065.03,0.77886,1.51622,0.70761,1.13892,0.61272,0.77095,0.72005,0.54718,0.61485,0.77262,0.72347,0.48031,0.79099,1.56546,0.73696,1.02616,0.000254541,0.000254541,0.000254541
67,7173.87,0.78222,1.51269,0.70928,1.13894,0.73295,0.68984,0.71606,0.54104,0.73685,0.69038,0.71677,0.48428,0.79424,1.58277,0.73662,1.02299,0.000247472,0.000247472,0.000247472
68,7281.88,0.76687,1.48035,0.6902,1.13367,0.7712,0.64257,0.71974,0.55229,0.81026,0.64594,0.72193,0.48317,0.80202,1.56857,0.73429,1.02274,0.000240404,0.000240404,0.000240404
69,7390.07,0.77354,1.48276,0.69959,1.13864,0.7068,0.67526,0.72396,0.54235,0.67187,0.66711,0.71429,0.49063,0.79954,1.5892,0.73886,1.01864,0.000233335,0.000233335,0.000233335
70,7496.58,0.77401,1.49808,0.70146,1.13617,0.76735,0.67724,0.72138,0.54827,0.81395,0.64364,0.71404,0.48899,0.78408,1.57279,0.7317,1.01455,0.000226267,0.000226267,0.000226267
71,7604.13,0.76428,1.49032,0.68909,1.12764,0.72994,0.70391,0.72185,0.54945,0.80269,0.66544,0.71818,0.49417,0.78221,1.56959,0.72325,1.02154,0.000219198,0.000219198,0.000219198
72,7711.18,0.7648,1.45791,0.68171,1.12954,0.80995,0.66687,0.74382,0.55274,0.81069,0.66636,0.72787,0.49929,0.78723,1.59264,0.73618,1.01561,0.000212129,0.000212129,0.000212129
73,7818.51,0.75816,1.45282,0.67799,1.1282,0.76617,0.65276,0.73753,0.55702,0.76735,0.65303,0.73343,0.49773,0.78274,1.60138,0.73119,1.01905,0.000205061,0.000205061,0.000205061
74,7925.41,0.75353,1.45718,0.67063,1.12534,0.76766,0.68127,0.71137,0.54125,0.75125,0.67237,0.7054,0.48308,0.78169,1.563,0.73099,1.01714,0.000197992,0.000197992,0.000197992
75,8031.88,0.74931,1.46243,0.66963,1.1186,0.80059,0.66284,0.71083,0.54312,0.80458,0.66587,0.7092,0.48302,0.77871,1.58094,0.71654,1.02005,0.000190924,0.000190924,0.000190924
76,8140.38,0.75908,1.46496,0.68088,1.12772,0.77303,0.66886,0.71927,0.54572,0.77586,0.66828,0.70755,0.48238,0.7769,1.57973,0.73566,1.01758,0.000183855,0.000183855,0.000183855
77,8248.04,0.74888,1.45544,0.67106,1.1235,0.73365,0.66887,0.72,0.54464,0.75053,0.66036,0.71353,0.48641,0.77516,1.57348,0.72689,1.01697,0.000176786,0.000176786,0.000176786
78,8356.15,0.74,1.43389,0.65817,1.1158,0.69938,0.68325,0.7126,0.55071,0.70883,0.69561,0.71112,0.48484,0.76991,1.55374,0.72196,1.01319,0.000169718,0.000169718,0.000169718
79,8463.37,0.74329,1.43782,0.65741,1.11484,0.71146,0.69885,0.71265,0.54496,0.68287,0.69258,0.70468,0.48622,0.78006,1.57036,0.73078,1.00683,0.000162649,0.000162649,0.000162649
80,8569.43,0.7324,1.42182,0.64992,1.11242,0.68351,0.69282,0.70493,0.53674,0.68872,0.69662,0.70527,0.47984,0.77371,1.57668,0.72803,1.01537,0.000155581,0.000155581,0.000155581
81,8675.2,0.73114,1.41435,0.64522,1.10957,0.61939,0.73825,0.7018,0.54379,0.63067,0.75026,0.70466,0.48324,0.77516,1.56668,0.71433,1.01751,0.000148512,0.000148512,0.000148512
82,8782.92,0.73476,1.41723,0.64755,1.11116,0.64629,0.67711,0.7016,0.5434,0.62946,0.7205,0.714,0.47936,0.7702,1.60589,0.71661,1.01185,0.000141443,0.000141443,0.000141443
83,8886.53,0.73077,1.41755,0.64435,1.10948,0.75053,0.66351,0.70746,0.54367,0.76096,0.68623,0.71742,0.48739,0.76169,1.59275,0.71533,1.00522,0.000134375,0.000134375,0.000134375
84,8991.55,0.72719,1.41013,0.64369,1.10587,0.74062,0.66177,0.70701,0.54542,0.75206,0.67927,0.71061,0.48438,0.76585,1.5951,0.71029,1.00438,0.000127306,0.000127306,0.000127306
85,9100.02,0.72886,1.413,0.64736,1.10999,0.72884,0.68545,0.71602,0.54546,0.6908,0.67262,0.70864,0.48677,0.76749,1.60312,0.72661,1.00721,0.000120238,0.000120238,0.000120238
86,9207.66,0.72275,1.40375,0.63233,1.09793,0.74611,0.67598,0.70996,0.54846,0.72707,0.6791,0.70519,0.48523,0.76186,1.60146,0.71305,1.00484,0.000113169,0.000113169,0.000113169
87,9314.53,0.7225,1.40539,0.63711,1.10426,0.68744,0.67636,0.70091,0.54651,0.69547,0.69863,0.71065,0.48884,0.765,1.59247,0.71963,1.00319,0.0001061,0.0001061,0.0001061
88,9420.59,0.71684,1.39417,0.63837,1.10581,0.67717,0.67923,0.6944,0.53747,0.69012,0.69472,0.69497,0.4815,0.76251,1.61904,0.71989,1.00554,9.90318e-05,9.90318e-05,9.90318e-05
89,9525.88,0.71091,1.37542,0.63404,1.10205,0.70928,0.66105,0.70312,0.54202,0.72949,0.67412,0.71115,0.48453,0.75541,1.59804,0.72073,1.00148,9.19632e-05,9.19632e-05,9.19632e-05
90,9630.78,0.71182,1.38632,0.62675,1.10174,0.70123,0.66059,0.69766,0.54064,0.71525,0.67381,0.70306,0.48561,0.76317,1.5924,0.71496,1.01334,8.48946e-05,8.48946e-05,8.48946e-05
91,9710.83,0.73433,1.34101,0.60166,1.11433,0.6852,0.67554,0.69739,0.54001,0.67197,0.68559,0.69542,0.48058,0.75522,1.63981,0.72004,0.99985,7.7826e-05,7.7826e-05,7.7826e-05
92,9784.9,0.71943,1.31859,0.56167,1.10757,0.70294,0.66312,0.69879,0.54219,0.67303,0.67401,0.69575,0.48334,0.76252,1.63032,0.7213,1.01296,7.07574e-05,7.07574e-05,7.07574e-05
93,9859.13,0.70311,1.29398,0.55105,1.09002,0.73037,0.67532,0.71149,0.54616,0.67893,0.67023,0.70265,0.48547,0.75556,1.63525,0.71234,1.00804,6.36888e-05,6.36888e-05,6.36888e-05
94,9932.7,0.69625,1.29348,0.53553,1.08932,0.70048,0.67474,0.70587,0.5425,0.6738,0.67053,0.69409,0.48586,0.75227,1.62467,0.7068,1.00407,5.66202e-05,5.66202e-05,5.66202e-05
95,10007.8,0.69517,1.28574,0.5359,1.08985,0.6987,0.68029,0.70498,0.54422,0.66333,0.67777,0.69991,0.48599,0.758,1.65586,0.71045,1.01653,4.95516e-05,4.95516e-05,4.95516e-05
96,10082.4,0.69019,1.27293,0.52976,1.09114,0.708,0.68157,0.70839,0.54691,0.66234,0.67831,0.6966,0.48657,0.74734,1.65782,0.70794,1.00689,4.2483e-05,4.2483e-05,4.2483e-05
97,10156.8,0.68228,1.27502,0.52856,1.07954,0.70359,0.67971,0.71228,0.5474,0.6608,0.6781,0.69469,0.4877,0.75003,1.65937,0.70282,1.00614,3.54144e-05,3.54144e-05,3.54144e-05
98,10230.7,0.67804,1.26199,0.52548,1.07983,0.70379,0.69184,0.70559,0.54599,0.66323,0.68729,0.69548,0.48833,0.74579,1.66495,0.70354,1.00468,2.83458e-05,2.83458e-05,2.83458e-05
99,10304.3,0.67938,1.26286,0.52403,1.0844,0.71172,0.67574,0.70532,0.54239,0.71201,0.68171,0.70045,0.48721,0.75012,1.66376,0.69973,1.00907,2.12772e-05,2.12772e-05,2.12772e-05
100,10378,0.67895,1.26352,0.52112,1.08318,0.71937,0.67238,0.70702,0.54542,0.72252,0.6755,0.70484,0.48807,0.74844,1.64628,0.70125,1.00384,1.42086e-05,1.42086e-05,1.42086e-05
